timestamp,vibration_mm_s,temperature_c,pressure_bar,current_a,rpm,acoustic_db
2024-06-01T10:40,3.645,69.16,7.273,14.235,1451.9,80.04
2024-06-01T10:50,4.24,71.2,7.244,14.117,1453.9,76.78
2024-06-01T11:00,3.767,70.26,7.344,13.37,1457.8,76.9
2024-06-01T11:10,4.053,70.82,7.384,14.449,1454.0,79.58
2024-06-01T11:20,3.55,68.79,7.398,14.024,1454.9,79.35
2024-06-01T11:30,3.862,70.57,7.34,14.106,1451.3,80.11
2024-06-01T11:40,3.916,71.07,7.414,13.579,1449.1,76.53
2024-06-01T11:50,3.883,70.11,7.221,14.075,1451.5,79.16
2024-06-01T12:00,4.12,71.24,7.529,13.314,1452.0,78.54
2024-06-01T12:10,3.79,70.06,7.245,13.503,1449.3,77.46
2024-06-01T12:20,3.844,70.5,7.236,14.492,1449.9,77.61
2024-06-01T12:30,4.001,69.6,7.441,13.907,1453.4,78.3
2024-06-01T12:40,3.787,68.73,7.513,13.92,1457.9,77.17
2024-06-01T12:50,3.825,68.82,7.332,14.525,1454.7,78.2
2024-06-01T13:00,3.974,71.21,7.305,14.527,1455.4,79.38
2024-06-01T13:10,3.84,69.88,7.36,13.429,1453.7,76.62
2024-06-01T13:20,3.953,70.98,7.243,14.703,1454.9,76.81
2024-06-01T13:30,4.333,69.87,7.448,13.665,1457.5,79.36
2024-06-01T13:40,3.715,70.23,7.329,13.198,1449.4,77.68
2024-06-01T13:50,3.937,70.08,7.37,13.953,1451.3,78.81
2024-06-01T14:00,3.691,71.69,7.422,13.61,1451.3,79.68
2024-06-01T14:10,3.99,70.85,7.245,14.44,1451.6,79.07
2024-06-01T14:20,4.351,70.49,7.443,14.299,1454.7,76.49
2024-06-01T14:30,3.95,71.65,7.436,14.384,1453.6,79.28
2024-06-01T14:40,4.041,69.27,7.373,14.137,1456.2,76.99
2024-06-01T14:50,4.122,68.87,7.5,13.326,1447.9,77.67
2024-06-01T15:00,3.702,70.86,7.283,14.394,1456.9,79.92
2024-06-01T15:10,4.174,68.99,7.173,13.49,1450.9,79.08
2024-06-01T15:20,4.009,69.76,7.186,14.622,1451.0,77.86
2024-06-01T15:30,4.21,70.99,7.372,14.276,1453.6,77.23
2024-06-01T15:40,3.794,70.52,7.204,14.729,1450.4,77.63
2024-06-01T15:50,3.767,70.98,7.239,13.735,1456.7,79.67
2024-06-01T16:00,3.824,69.25,7.382,13.789,1457.1,79.77
2024-06-01T16:10,4.373,71.31,7.226,13.647,1454.4,77.9
2024-06-01T16:20,3.968,69.68,7.3,13.516,1452.6,80.26
2024-06-01T16:30,4.175,69.35,7.353,14.137,1449.6,79.22
2024-06-01T16:40,4.048,70.87,7.126,13.864,1454.3,76.95
2024-06-01T16:50,4.244,68.99,7.323,14.695,1451.1,80.31
2024-06-01T17:00,4.335,70.42,7.182,14.757,1450.2,79.16
2024-06-01T17:10,4.363,69.28,7.33,14.077,1454.1,80.34
2024-06-01T17:20,4.372,69.56,7.451,13.508,1456.0,80.6
2024-06-01T17:30,3.964,70.54,7.472,14.772,1456.0,80.13
2024-06-01T17:40,3.659,70.78,7.138,14.811,1449.5,80.6
2024-06-01T17:50,4.091,70.58,7.469,14.606,1451.3,77.43
2024-06-01T18:00,3.752,69.61,7.276,13.663,1448.4,79.62
2024-06-01T18:10,4.299,70.85,7.393,13.538,1455.0,80.28
2024-06-01T18:20,4.334,70.71,7.123,14.334,1448.2,77.27
2024-06-01T18:30,3.936,69.93,7.191,13.647,1453.9,80.54
2024-06-01T18:40,3.924,71.38,7.09,14.322,1453.2,76.99
2024-06-01T18:50,3.782,70.15,7.246,14.087,1455.1,79.57
2024-06-01T19:00,3.942,69.61,7.448,13.762,1452.3,77.65
2024-06-01T19:10,3.805,69.74,7.379,14.265,1450.2,78.99
2024-06-01T19:20,4.08,70.92,7.344,13.652,1448.4,79.83
2024-06-01T19:30,4.407,69.57,7.256,14.435,1446.7,79.08
2024-06-01T19:40,3.763,70.99,7.277,14.232,1447.3,78.15
2024-06-01T19:50,4.135,69.72,7.156,14.255,1446.6,78.9
2024-06-01T20:00,4.371,70.76,7.277,14.06,1446.2,78.72
2024-06-01T20:10,4.375,71.59,7.228,14.642,1453.0,79.2
2024-06-01T20:20,3.771,70.48,7.094,14.932,1454.9,77.18
2024-06-01T20:30,4.487,69.56,7.23,14.578,1453.1,80.84
2024-06-01T20:40,4.261,70.75,7.462,13.966,1454.1,80.57
2024-06-01T20:50,4.05,71.56,7.328,14.224,1451.8,78.35
2024-06-01T21:00,3.898,71.14,7.273,14.532,1447.5,76.99
2024-06-01T21:10,3.778,70.45,7.329,14.244,1450.5,80.28
2024-06-01T21:20,3.963,70.61,7.169,14.879,1452.3,77.46
2024-06-01T21:30,4.417,70.86,7.363,14.799,1445.2,77.84
2024-06-01T21:40,3.855,69.72,7.294,14.517,1445.4,80.0
2024-06-01T21:50,4.101,70.34,7.14,14.779,1445.4,79.07
2024-06-01T22:00,4.015,72.11,7.345,13.913,1450.8,79.75
2024-06-01T22:10,4.045,70.58,7.108,14.465,1447.0,78.28
2024-06-01T22:20,3.842,72.54,7.401,14.873,1450.9,78.8
2024-06-01T22:30,4.194,72.63,7.424,14.494,1452.5,78.38
2024-06-01T22:40,4.135,70.18,7.197,14.632,1449.3,80.52
2024-06-01T22:50,4.047,71.87,7.367,14.893,1450.1,81.01
2024-06-01T23:00,4.256,70.17,7.14,13.76,1450.9,80.84
2024-06-01T23:10,4.492,70.06,7.331,13.744,1447.1,79.85
2024-06-01T23:20,4.301,72.42,7.115,14.663,1451.6,79.41
2024-06-01T23:30,4.206,72.42,7.172,14.98,1444.4,80.93
2024-06-01T23:40,4.596,70.18,7.437,14.22,1446.6,79.61
2024-06-01T23:50,3.994,72.59,7.257,14.699,1448.0,79.34
2024-06-02T00:00,4.121,70.64,7.24,14.258,1445.1,81.14
2024-06-02T00:10,4.213,72.39,7.399,14.059,1448.2,79.48
2024-06-02T00:20,4.018,70.32,7.137,14.965,1449.8,78.91
2024-06-02T00:30,3.966,70.88,7.183,14.807,1449.0,79.87
2024-06-02T00:40,4.395,70.68,7.359,15.023,1450.4,79.22
2024-06-02T00:50,3.985,72.3,7.096,14.633,1448.8,80.93
2024-06-02T01:00,4.287,71.85,7.051,13.537,1452.3,81.05
2024-06-02T01:10,4.391,72.22,7.191,14.834,1446.1,80.11
2024-06-02T01:20,3.866,71.46,7.175,14.478,1450.4,79.76
2024-06-02T01:30,4.248,71.41,7.027,14.374,1443.9,79.41
2024-06-02T01:40,4.084,72.88,7.03,14.795,1450.5,80.53
2024-06-02T01:50,4.594,70.28,7.061,13.735,1445.6,79.41
2024-06-02T02:00,4.521,70.76,7.18,14.095,1447.7,79.57
2024-06-02T02:10,4.663,70.64,7.294,14.857,1450.2,80.75
2024-06-02T02:20,4.481,70.25,7.171,14.386,1444.2,77.36
2024-06-02T02:30,4.012,71.47,7.192,14.759,1449.2,80.76
2024-06-02T02:40,3.953,71.56,7.035,13.843,1452.2,80.88
2024-06-02T02:50,4.259,70.12,7.047,14.987,1452.5,79.59
2024-06-02T03:00,3.906,72.76,7.142,15.046,1449.4,80.35
2024-06-02T03:10,4.452,71.17,7.046,13.769,1445.9,80.68
2024-06-02T03:20,4.194,72.67,7.147,14.718,1444.9,81.3
2024-06-02T03:30,4.464,71.48,7.404,13.596,1447.8,80.7
2024-06-02T03:40,4.158,72.28,7.395,14.145,1451.2,77.47
2024-06-02T03:50,4.105,72.95,7.209,14.08,1452.8,79.08
2024-06-02T04:00,4.432,71.95,7.046,14.501,1451.4,80.2
2024-06-02T04:10,3.954,70.43,7.296,14.526,1450.8,78.62
2024-06-02T04:20,3.975,69.98,7.134,14.087,1446.1,77.88
2024-06-02T04:30,4.04,71.3,7.232,14.164,1443.7,78.77
2024-06-02T04:40,3.966,71.75,7.139,14.127,1446.3,78.9
2024-06-02T04:50,3.959,72.65,7.371,15.076,1449.1,78.03
2024-06-02T05:00,4.197,70.36,7.129,14.299,1444.0,79.09
2024-06-02T05:10,4.23,71.39,7.039,13.912,1445.8,79.85
2024-06-02T05:20,4.368,70.51,7.05,13.996,1452.9,78.68
2024-06-02T05:30,4.39,72.33,7.139,14.043,1451.5,80.79
2024-06-02T05:40,4.673,70.32,7.135,15.023,1445.4,78.6
2024-06-02T05:50,4.666,72.81,7.123,14.618,1448.3,79.65
2024-06-02T06:00,4.088,71.02,7.332,14.134,1444.5,79.6
2024-06-02T06:10,4.368,71.52,7.278,14.384,1452.9,79.19
2024-06-02T06:20,4.461,71.19,7.121,14.611,1451.6,80.52
2024-06-02T06:30,4.222,71.37,7.258,13.889,1450.0,80.2
2024-06-02T06:40,4.526,70.08,7.4,14.267,1447.4,79.36
2024-06-02T06:50,4.631,71.93,7.221,14.764,1447.0,80.91
2024-06-02T07:00,4.324,71.76,7.037,14.728,1450.0,78.75
2024-06-02T07:10,4.412,69.97,7.396,14.581,1447.4,80.33
2024-06-02T07:20,4.667,71.12,7.006,13.909,1448.5,79.4
2024-06-02T07:30,4.359,71.54,7.18,14.12,1451.1,79.67
2024-06-02T07:40,4.295,70.84,7.011,13.66,1447.6,81.16
2024-06-02T07:50,3.988,72.62,7.058,13.991,1448.0,78.14
2024-06-02T08:00,4.281,71.22,7.176,14.605,1446.6,78.51
2024-06-02T08:10,4.543,70.12,7.34,14.526,1450.2,77.96
2024-06-02T08:20,4.682,70.5,7.07,13.744,1449.0,81.14
2024-06-02T08:30,4.081,70.98,7.073,14.511,1447.7,77.42
2024-06-02T08:40,4.386,70.34,7.236,14.108,1450.5,78.12
2024-06-02T08:50,4.497,72.17,7.024,13.647,1452.2,78.05
2024-06-02T09:00,4.156,71.11,7.103,14.864,1448.7,79.85
2024-06-02T09:10,4.373,71.56,7.232,14.039,1451.9,79.76
